SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
BA,14,F,0,596.9,673.2,649.4,778.5,600.0,N
BA,14,F,1,441.9,491.7,499.9,373.0,560.0,A
BA,14,F,0,561.7,493.5,561.1,670.2,720.0,H
BA,14,F,1,375.9,429.0,467.4,525.7,0.0,C
BA,14,F,1,460.1,538.7,433.7,485.3,500.0,B
BA,14,M,0,583.2,611.7,582.9,810.4,600.0,K
RN,14,F,0,465.6,513.5,469.1,587.5,600.0,H
RN,14,F,0,541.6,560.4,568.3,621.8,600.0,Q
PB,14,F,0,433.1,423.5,520.3,474.3,680.0,B
PB,14,F,1,439.9,405.2,561.5,373.8,720.0,M
PB,14,F,0,,,,,,B
PB,14,F,0,543.2,593.5,610.6,553.1,640.0,M
RN,14,F,1,376.3,333.1,391.5,442.2,680.0,B
RN,14,M,0,433.8,550.5,524.2,650.6,540.0,C
PB,14,F,1,419.1,550.9,513.2,479.0,600.0,B
PB,14,M,0,565.1,598.6,569.0,561.7,760.0,Q
PB,13,M,0,381.8,549.5,487.5,534.1,560.0,C
PB,14,M,1,529.1,590.0,599.0,549.2,640.0,F
PB,14,M,1,515.4,587.1,573.0,624.0,680.0,F
PB,14,F,0,503.5,529.8,500.9,531.4,800.0,C
PB,14,F,0,579.7,580.4,602.4,736.0,900.0,O
PB,14,F,0,596.4,619.9,595.9,749.6,860.0,Q
PB,14,M,1,550.8,506.3,528.8,574.2,580.0,D
PB,14,F,1,428.7,412.6,387.1,380.3,280.0,D
RN,14,M,0,,546.9,555.1,,620.0,O
RN,14,F,1,,,,,,C
RN,14,F,0,538.2,621.8,601.1,624.1,660.0,E
PB,14,F,0,540.2,557.1,594.1,584.9,760.0,J
PB,14,F,0,520.6,572.6,572.5,510.2,620.0,E
PB,14,M,0,546.3,583.0,580.5,700.2,860.0,M
RN,12,F,0,,,,,,Q
PB,14,F,1,,,,,,B
PB,14,F,1,403.0,473.1,526.5,386.2,540.0,D
PB,14,F,0,479.0,467.7,519.3,540.0,640.0,C
PB,14,F,1,414.2,426.0,529.5,550.4,440.0,D
PB,14,F,1,537.9,572.1,560.8,566.3,720.0,I
PE,14,F,0,414.7,439.0,442.7,430.8,520.0,D
PB,14,M,1,500.2,437.7,524.7,447.4,480.0,E
PB,14,M,0,412.6,487.5,466.9,418.9,460.0,C
PE,14,M,0,,,,,,A
PB,14,F,1,566.9,573.9,596.6,582.1,680.0,A
PB,14,F,0,525.5,528.6,518.9,402.9,700.0,F
PB,14,M,0,410.4,379.0,439.9,489.7,340.0,H
PB,14,F,1,,,,,,A
PE,14,M,0,419.4,457.5,393.9,444.0,0.0,B
PB,14,F,0,467.0,558.3,551.0,665.0,680.0,P
PB,13,M,0,484.6,530.0,541.2,490.5,540.0,B
PB,14,F,0,527.6,611.4,584.3,647.2,740.0,D
PB,14,F,0,389.6,521.9,562.8,434.8,500.0,C
PB,14,M,1,511.6,511.4,567.6,532.5,540.0,C
PB,14,F,0,520.7,591.4,568.2,628.6,860.0,I
PE,14,F,1,393.9,389.2,498.6,364.3,540.0,C
RN,14,F,0,559.1,538.6,596.3,661.3,900.0,M
PB,14,M,1,452.8,446.6,505.2,631.8,340.0,G
PB,14,F,0,380.1,413.4,407.1,415.7,520.0,A
PB,14,F,0,488.1,488.5,503.6,522.5,660.0,Q
RN,14,F,0,444.3,554.1,534.5,579.5,540.0,C
PB,14,F,0,479.7,530.2,520.9,649.5,740.0,M
PB,14,F,1,392.3,466.6,451.4,437.9,480.0,B
PB,14,F,1,549.0,541.4,574.7,577.1,600.0,C
PE,14,F,1,446.2,486.3,437.1,514.8,600.0,D
PE,14,M,1,,407.2,522.0,,720.0,F
PB,14,F,1,511.7,429.9,528.5,560.2,540.0,D
PE,14,M,0,514.7,508.6,534.0,616.4,760.0,D
PB,14,F,1,514.9,448.1,551.2,571.7,700.0,I
PB,14,F,0,592.2,592.0,634.1,701.1,900.0,G
PB,14,F,0,452.5,578.4,586.5,752.9,580.0,B
PE,14,F,0,371.3,412.5,471.8,506.9,520.0,C
PB,14,F,1,373.9,467.8,399.7,392.1,540.0,B
ES,14,M,0,467.3,538.5,570.1,571.5,620.0,J
RJ,14,M,0,,442.8,447.3,,260.0,A
RJ,14,F,1,430.0,526.8,517.7,550.8,820.0,E
RJ,14,F,0,,,,,,C
RJ,14,M,0,,,,,,E
ES,14,F,1,,,,,,D
ES,13,M,0,,,,,,K
ES,14,F,1,,,,,,C
RJ,14,F,0,,,,,,H
ES,14,F,0,406.2,520.4,512.6,623.0,480.0,D
ES,14,F,0,475.8,513.7,528.6,489.6,640.0,O
RJ,14,F,0,,,,,,O
RJ,14,F,1,512.0,368.0,506.4,611.5,640.0,C
RJ,14,M,1,541.9,598.9,593.5,724.5,600.0,Q
RJ,14,F,0,412.4,430.6,385.4,478.5,340.0,D
SP,14,F,0,392.7,,,517.5,,I
RJ,14,M,1,413.0,633.2,575.9,723.0,560.0,L
RJ,14,M,0,450.2,475.3,486.2,447.4,240.0,Q
RJ,14,F,0,465.6,593.0,578.0,478.1,0.0,I
CE,14,M,0,393.2,371.5,420.0,538.1,600.0,Q
CE,14,M,1,563.1,651.7,623.9,787.7,840.0,Q
CE,14,F,0,404.8,409.4,421.6,464.8,440.0,B
CE,14,M,0,629.4,630.0,614.9,723.5,560.0,K
CE,14,F,1,536.2,595.5,542.7,606.7,800.0,C
CE,14,F,1,441.1,424.9,445.7,453.0,0.0,C
MG,14,F,0,,537.1,555.6,,580.0,C
MG,14,F,0,428.0,529.2,530.0,510.5,560.0,B
CE,14,M,1,,,,,,H
CE,14,F,1,428.1,516.6,553.1,543.3,520.0,D
CE,14,F,1,472.9,544.6,561.6,523.2,300.0,B
CE,14,F,1,385.7,508.8,528.1,500.3,540.0,C
CE,14,F,0,561.2,612.3,605.3,624.0,760.0,B
CE,14,F,1,578.8,648.2,609.9,658.5,860.0,G
MG,14,M,0,565.8,564.6,538.5,539.1,560.0,G
CE,14,F,1,429.1,481.8,459.9,468.7,420.0,D
CE,14,F,1,563.0,573.8,585.1,583.7,720.0,D
MG,14,M,0,569.6,546.2,492.3,626.0,500.0,C
CE,3,F,0,394.5,492.1,508.5,560.4,660.0,B
MG,14,M,0,527.3,553.8,579.3,412.6,580.0,Q
ES,14,F,0,555.1,512.1,575.0,654.8,540.0,H
CE,14,M,1,,,,,,L
MG,14,F,0,485.5,569.6,584.2,651.3,620.0,Q
MG,14,F,0,537.8,420.9,488.9,541.4,840.0,C
